key,label,eclipse_type,JD_UT,site_name,lat_deg,lon_deg,elev_m,visible,classification,sun_alt_deg,sun_az_deg,moon_alt_deg,moon_az_deg,illumination,phase_angle_deg,elongation_deg,error
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Jerusalem,31.78,35.23,800.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Rome,41.9,12.5,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Alexandria,31.2,29.92,5.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Cairo (Fustat),30.03,31.23,23.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Athens,37.98,23.72,70.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Constantinople (Istanbul),41.01,28.97,40.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Antioch (Antakya),36.2,36.16,80.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Damascus,33.51,36.29,680.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Babylon (Hillah),32.54,44.42,30.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Nineveh (Mosul),36.35,43.15,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Uruk (Warka),31.32,45.64,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Nippur (Nuffar),32.12,45.23,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Persepolis (Takht-e Jamshid),29.94,52.89,1620.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Isfahan,32.65,51.67,1575.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Ujjain,23.18,75.78,500.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Pataliputra (Patna),25.61,85.14,53.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Taxila,33.74,72.84,549.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Samarkand,39.65,66.96,702.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Bukhara,39.77,64.43,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Merv (Mary),37.66,62.18,93.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Chang'an (Xi'an),34.34,108.94,405.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Luoyang,34.62,112.45,144.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Kaifeng,34.8,114.31,73.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Nanjing,32.06,118.79,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Beijing,39.9,116.4,43.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Kyoto (Heian-kyō),35.01,135.77,50.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Córdoba,37.88,-4.78,106.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Toledo,39.86,-4.03,529.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,Paris,48.86,2.35,35.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E1_4BCE_LunarEcl,Lunar eclipse (partial) — 13 Mar 4 BCE (astronomical year −0003),lunar,1720033.52852,London,51.51,-0.13,25.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Jerusalem,31.78,35.23,800.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Rome,41.9,12.5,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Alexandria,31.2,29.92,5.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Cairo (Fustat),30.03,31.23,23.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Athens,37.98,23.72,70.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Constantinople (Istanbul),41.01,28.97,40.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Antioch (Antakya),36.2,36.16,80.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Damascus,33.51,36.29,680.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Babylon (Hillah),32.54,44.42,30.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Nineveh (Mosul),36.35,43.15,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Uruk (Warka),31.32,45.64,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Nippur (Nuffar),32.12,45.23,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Persepolis (Takht-e Jamshid),29.94,52.89,1620.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Isfahan,32.65,51.67,1575.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Ujjain,23.18,75.78,500.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Pataliputra (Patna),25.61,85.14,53.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Taxila,33.74,72.84,549.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Samarkand,39.65,66.96,702.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Bukhara,39.77,64.43,220.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Merv (Mary),37.66,62.18,93.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Chang'an (Xi'an),34.34,108.94,405.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Luoyang,34.62,112.45,144.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Kaifeng,34.8,114.31,73.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Nanjing,32.06,118.79,20.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Beijing,39.9,116.4,43.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Kyoto (Heian-kyō),35.01,135.77,50.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Córdoba,37.88,-4.78,106.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
E2_32CE_LunarEcl,Lunar eclipse (total) — 14 Apr 32 CE,lunar,1732849.87944,Toledo,39.86,-4.03,529.0,,,,,,,,,,404 Client Error: Not Found for url: http://127.0.0.1:8000/api/eclipse/visibility
